Status,Folder,Name/Reason,Category,Subcategory,Risk,RequiresAdmin,Entry
KEPT,ARP_Table,ARP Table,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Adapter_Info,Adapter Info,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Audit_Policy,Audit Policy,Security,Security,High,True,run.bat
KEPT,Battery_Report,Battery Report,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Bcd_View,Bcd View,System Information,System Information,High,True,run.bat
KEPT,Bios_Info,Bios Info,System Information,System Information,Moderate,False,run.bat
KEPT,Bitlocker_Status,Bitlocker Status,Security,Security,High,True,run.bat
KEPT,Boot_Time,Boot Time,System Information,System Information,High,True,run.bat
KEPT,Cert_Expiry,Cert Expiry,Network Tools,Network Tools,High,True,run.bat
KEPT,Check_Disk_Fix,Check Disk Fix,Diagnostics,Storage,High,True,run.bat
KEPT,Check_Disk_Scan,Check Disk Scan,Diagnostics,Storage,High,True,run.bat
KEPT,Clear_Browsers,Clear Browsers,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Delopt,Clear Delopt,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Prefetch,Clear Prefetch,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Recent,Clear Recent,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Thumbnail_Cache,Clear Thumbnail Cache,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Windows_Temporary_Files,Clear Windows Temporary Files,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Clear_Windows_Update_Cache,Clear Windows Update Cache,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Comp_Store,Comp Store,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Cpuhogs,Cpuhogs,System Information,System Information,Moderate,False,run.bat
KEPT,DNS_Test,DNS Test,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Deep_Cleanup,Deep Cleanup,Windows Repair,Automated Maintenance,High,True,run.bat
KEPT,Defrag_Anal,Defrag Anal,Diagnostics,Storage,Moderate,False,run.bat
KEPT,Disable_Safe,Disable Safe,System Information,System Information,High,True,run.bat
KEPT,Disk_Bench,Disk Bench,Diagnostics,Storage,Moderate,False,run.bat
KEPT,Disk_Usage,Disk Usage,Diagnostics,Storage,Moderate,False,run.bat
KEPT,Do_Psmod_All,Do Psmod All,Setup and Install,Setup and Dependencies,High,True,run.bat
KEPT,Do_RSAT_All,Do RSAT All,Setup and Install,Setup and Dependencies,High,True,run.bat
KEPT,Domain_Check,Domain Check,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Empty_Recycle_Bin,Empty Recycle Bin,Windows Repair,System Cleanup,High,True,run.bat
KEPT,Enable_Safe,Enable Safe,System Information,System Information,High,True,run.bat
KEPT,Exec_Policy,Exec Policy,Security,Security,Moderate,False,run.bat
KEPT,FW_Logging,FW Logging,Security,Security,High,True,run.bat
KEPT,FW_Rules,FW Rules,Security,Security,High,True,run.bat
KEPT,Failed_Logons,Failed Logons,Security,Security,High,True,run.bat
KEPT,Feat_Hyperv,Feat Hyperv,Setup and Install,Windows Features,High,True,run.bat
KEPT,Feat_Hyperv_Disable,Feat Hyperv Disable,Setup and Install,Windows Features,High,True,run.bat
KEPT,Feat_WSL,Feat WSL,Setup and Install,Windows Features,High,True,run.bat
KEPT,Feat_WSL_Disable,Feat WSL Disable,Setup and Install,Windows Features,High,True,run.bat
KEPT,Hyperv_Status,Hyperv Status,Setup and Install,Windows Features,High,True,run.bat
KEPT,Installed_Updates,Installed Updates,Setup and Install,Setup and Dependencies,Moderate,False,run.bat
KEPT,Kernel_Drivers,Kernel Drivers,Drivers,Drivers,High,True,run.bat
KEPT,Large_Files,Large Files,Diagnostics,Storage,Moderate,False,run.bat
KEPT,Last_Logons,Last Logons,Security,Security,High,True,run.bat
KEPT,Last_Wake,Last Wake,System Information,System Information,Moderate,False,run.bat
KEPT,MDM_Status,MDM Status,System Information,System Information,Moderate,False,run.bat
KEPT,Net_Adapter_Reset,Net Adapter Reset,Network Tools,Network Tools,High,True,run.bat
KEPT,Net_Info,Net Info,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Open_Ports,Open Ports,Network Tools,Network Tools,Moderate,False,run.bat
KEPT,Pending_Reboot,Pending Reboot,System Information,System Information,Moderate,False,run.bat
